"Name","PartyFinal","PartyOpenParl","PartyWiki","PartyWikiClean","PartyfromText"
"Teresa Gambaro","Liberal National",NA,"Liberal Party (Federal) Liberal National Party of Queensland (State)","Liberal National","Liberal"
"Terri Butler","Labor",NA,"Australian Labor Party","Labor","Labor"
"Terry Young","Liberal National","Liberal National",NA,NA,"Liberal National"
"Tim Hammond","Labor",NA,"Australian Labor Party","Labor","Labor"
"Tim Watts","Labor","Labor",NA,NA,"Labor"
"Tim Wilson","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Tony Abbott","Liberal",NA,"Liberal","Liberal","Liberal"
"Tony Burke","Labor","Labor",NA,NA,"Liberal"
"Tony Crook","National",NA,"The Nationals WA","National","National"
"Tony Pasin","Liberal","Liberal",NA,NA,"Liberal"
"Tony Smith","Liberal",NA,"Liberal Party of Australia","Liberal","Labor"
"Tony Windsor","Independent",NA,"Independent","Independent","Ind"
"Tony Zappia","Labor","Labor",NA,NA,"Labor"
"Tracey Roberts","Labor","Labor",NA,NA,"Labor"
"Trent Zimmerman","Liberal",NA,"Liberal Party","Liberal","Liberal"
"Trevor Evans","Liberal National",NA,"Liberal National","Liberal National","Liberal"
"Trish Draper","Liberal",NA,"Liberal","Liberal","Liberal"
"Vince Connelly","Liberal",NA,"Liberal","Liberal","Liberal"
"Warren Entsch","Liberal","Liberal",NA,NA,"Liberal"
"Warren Snowdon","Labor",NA,"Australian Labor Party","Labor","Labor"
"Warren Truss","Liberal National",NA,"Liberal National (since 2008)","Liberal National","Labor"
"Wayne Swan","Labor",NA,"Labor","Labor","Labor"
"Wilson Tuckey","Liberal",NA,"Liberal","Liberal","Liberal"
"Wyatt Roy","Liberal National",NA,"Liberal National","Liberal National","Liberal"
"Yvette D'Ath","Labor",NA,"Australian Labor Party","Labor","Labor"
"Zali Steggall","Ind","Ind",NA,NA,"Ind"
"Zaneta Mascarenhas","Labor","Labor",NA,NA,"Labor"
"Zoe Daniel","Ind","Ind",NA,NA,"Ind"
"Zoe McKenzie","Liberal","Liberal",NA,NA,NA
